token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
17547,AMRUTANJAN-EQ,AMRUTANJAN,,-1.000000,1,,NSE,5.000000
7145,ANANDRATHI-EQ,ANANDRATHI,,-1.000000,1,,NSE,5.000000
13620,ANANTRAJ-EQ,ANANTRAJ,,-1.000000,1,,NSE,5.000000
166,ANDHRAPAP-EQ,ANDHRAPAP,,-1.000000,1,,NSE,5.000000
136,ANDHRSUGAR-EQ,ANDHRSUGAR,,-1.000000,1,,NSE,1.000000
324,ANGELONE-EQ,ANGELONE,,-1.000000,1,,NSE,5.000000
5194,ANTGRAPHIC-EQ,ANTGRAPHIC,,-1.000000,1,,NSE,1.000000
9014,ANUP-EQ,ANUP,,-1.000000,1,,NSE,5.000000
2829,ANURAS-EQ,ANURAS,,-1.000000,1,,NSE,5.000000
11491,APARINDS-EQ,APARINDS,,-1.000000,1,,NSE,5.000000
20453,APCL-EQ,APCL,,-1.000000,1,,NSE,1.000000
154,APCOTEXIND-EQ,APCOTEXIND,,-1.000000,1,,NSE,5.000000
21623,APEX-EQ,APEX,,-1.000000,1,,NSE,5.000000
25780,APLAPOLLO-EQ,APLAPOLLO,,-1.000000,1,,NSE,5.000000
25328,APLLTD-EQ,APLLTD,,-1.000000,1,,NSE,5.000000
1134,APOLLO-EQ,APOLLO,,-1.000000,1,,NSE,1.000000
157,APOLLOHOSP-EQ,APOLLOHOSP,,-1.000000,1,,NSE,5.000000
14361,APOLLOPIPE-EQ,APOLLOPIPE,,-1.000000,1,,NSE,5.000000
163,APOLLOTYRE-EQ,APOLLOTYRE,,-1.000000,1,,NSE,5.000000
6302,APOLSINHOT-EQ,APOLSINHOT,,-1.000000,1,,NSE,5.000000
10755,APTECHT-EQ,APTECHT,,-1.000000,1,,NSE,1.000000
5435,APTUS-EQ,APTUS,,-1.000000,1,,NSE,5.000000
16795,ARCHIDPLY-EQ,ARCHIDPLY,,-1.000000,1,,NSE,1.000000
5688,ARCHIES-EQ,ARCHIES,,-1.000000,1,,NSE,1.000000
100,ARE&M-EQ,ARE&M,,-1.000000,1,,NSE,5.000000
181,ARENTERP-EQ,ARENTERP,,-1.000000,1,,NSE,1.000000
15204,ARIES-EQ,ARIES,,-1.000000,1,,NSE,5.000000
3813,ARIHANTCAP-EQ,ARIHANTCAP,,-1.000000,1,,NSE,1.000000
20159,ARIHANTSUP-EQ,ARIHANTSUP,,-1.000000,1,,NSE,5.000000
17263,ARMANFIN-EQ,ARMANFIN,,-1.000000,1,,NSE,5.000000
14557,AROGRANITE-EQ,AROGRANITE,,-1.000000,1,,NSE,1.000000
9260,ARROWGREEN-EQ,ARROWGREEN,,-1.000000,1,,NSE,5.000000
16913,ARTEMISMED-EQ,ARTEMISMED,,-1.000000,1,,NSE,5.000000
6156,ARTNIRMAN-EQ,ARTNIRMAN,,-1.000000,1,,NSE,1.000000
193,ARVIND-EQ,ARVIND,,-1.000000,1,,NSE,5.000000
9111,ARVINDFASN-EQ,ARVINDFASN,,-1.000000,1,,NSE,5.000000
10457,ARVSMART-EQ,ARVSMART,,-1.000000,1,,NSE,5.000000
5378,ASAHIINDIA-EQ,ASAHIINDIA,,-1.000000,1,,NSE,5.000000
25088,ASAHISONG-EQ,ASAHISONG,,-1.000000,1,,NSE,5.000000
10634,ASAL-EQ,ASAL,,-1.000000,1,,NSE,5.000000
17598,ASALCBR-EQ,ASALCBR,,-1.000000,1,,NSE,5.000000
203,ASHAPURMIN-EQ,ASHAPURMIN,,-1.000000,1,,NSE,5.000000
24403,ASHIANA-EQ,ASHIANA,,-1.000000,1,,NSE,5.000000
206,ASHIMASYN-EQ,ASHIMASYN,,-1.000000,1,,NSE,1.000000
20182,ASHOKA-EQ,ASHOKA,,-1.000000,1,,NSE,5.000000
16943,ASHOKAMET-EQ,ASHOKAMET,,-1.000000,1,,NSE,1.000000
212,ASHOKLEY-EQ,ASHOKLEY,,-1.000000,1,,NSE,5.000000
7030,ASIANENE-EQ,ASIANENE,,-1.000000,1,,NSE,5.000000
18422,ASIANHOTNR-EQ,ASIANHOTNR,,-1.000000,1,,NSE,1.000000
236,ASIANPAINT-EQ,ASIANPAINT,,-1.000000,1,,NSE,5.000000
14889,ASIANTILES-EQ,ASIANTILES,,-1.000000,1,,NSE,1.000000
20152,ASKAUTOLTD-EQ,ASKAUTOLTD,,-1.000000,1,,NSE,5.000000
14064,ASMS-EQ,ASMS,,-1.000000,1,,NSE,1.000000
17270,ASPINWALL-EQ,ASPINWALL,,-1.000000,1,,NSE,5.000000
17728,ASTEC-EQ,ASTEC,,-1.000000,1,,NSE,5.000000
1508,ASTERDM-EQ,ASTERDM,,-1.000000,1,,NSE,5.000000
14418,ASTRAL-EQ,ASTRAL,,-1.000000,1,,NSE,5.000000
11618,ASTRAMICRO-EQ,ASTRAMICRO,,-1.000000,1,,NSE,5.000000
5610,ASTRAZEN-EQ,ASTRAZEN,,-1.000000,1,,NSE,5.000000
15404,ATAM-EQ,ATAM,,-1.000000,1,,NSE,1.000000
1663,ATFL-EQ,ATFL,,-1.000000,1,,NSE,5.000000
6066,ATGL-EQ,ATGL,,-1.000000,1,,NSE,5.000000
17778,ATL-EQ,ATL,,-1.000000,1,,NSE,1.000000
263,ATUL-EQ,ATUL,,-1.000000,1,,NSE,5.000000
21238,AUBANK-EQ,AUBANK,,-1.000000,1,,NSE,5.000000
12022,AURIONPRO-EQ,AURIONPRO,,-1.000000,1,,NSE,5.000000
275,AUROPHARMA-EQ,AUROPHARMA,,-1.000000,1,,NSE,5.000000
10310,AURUM-EQ,AURUM,,-1.000000,1,,NSE,1.000000
